,STATION,DATE,ENTRIES,EXITS
0,59 ST,03/27/2021,12225,16939
1,59 ST,03/28/2021,7141,9650
2,59 ST,03/29/2021,18302,20973
3,59 ST,03/30/2021,19477,22546
4,59 ST,03/31/2021,18710,19736
5,59 ST,04/01/2021,18336,21702
6,59 ST,04/02/2021,16413,18867
7,59 ST,03/20/2021,11744,14869
8,59 ST,03/21/2021,8362,11209
9,59 ST,03/22/2021,17903,20492
10,59 ST,03/23/2021,18738,19629
11,59 ST,03/24/2021,18760,18261
12,59 ST,03/25/2021,19044,22142
13,59 ST,03/26/2021,18662,22590
14,59 ST,03/13/2021,12097,15574
15,59 ST,03/14/2021,6418,8121
16,59 ST,03/15/2021,18057,20901
17,59 ST,03/16/2021,18830,22430
18,59 ST,03/17/2021,18738,20101
19,59 ST,03/18/2021,17969,19284
20,59 ST,03/19/2021,18703,21428
21,59 ST,03/06/2021,11625,13917
22,59 ST,03/07/2021,8235,10488
23,59 ST,03/08/2021,19775,22921
24,59 ST,03/09/2021,20852,24557
25,59 ST,03/10/2021,20376,23213
26,59 ST,03/11/2021,20790,24614
27,59 ST,03/12/2021,20464,24734
28,59 ST,02/27/2021,11052,13196
29,59 ST,02/28/2021,8068,9779
30,59 ST,03/01/2021,19409,22012
31,59 ST,03/02/2021,20205,22626
32,59 ST,03/03/2021,20999,24006
33,59 ST,03/04/2021,20395,23266
34,59 ST,03/05/2021,20308,23108
35,5 AV/59 ST,03/27/2021,3301,3916
36,5 AV/59 ST,03/28/2021,1226,1463
37,5 AV/59 ST,03/29/2021,4032,4169
38,5 AV/59 ST,03/30/2021,4614,4884
39,5 AV/59 ST,03/31/2021,3976,3806
40,5 AV/59 ST,04/01/2021,3860,4013
41,5 AV/59 ST,04/02/2021,3266,3584
42,5 AV/59 ST,03/20/2021,2686,2806
43,5 AV/59 ST,03/21/2021,2325,2415
44,5 AV/59 ST,03/22/2021,3864,3860
45,5 AV/59 ST,03/23/2021,3981,4109
46,5 AV/59 ST,03/24/2021,3681,3682
47,5 AV/59 ST,03/25/2021,3932,4085
48,5 AV/59 ST,03/26/2021,3869,3896
49,5 AV/59 ST,03/13/2021,2660,3099
50,5 AV/59 ST,03/14/2021,1953,2268
51,5 AV/59 ST,03/15/2021,3621,3645
52,5 AV/59 ST,03/16/2021,3651,3879
53,5 AV/59 ST,03/17/2021,3821,3918
54,5 AV/59 ST,03/18/2021,3648,3610
55,5 AV/59 ST,03/19/2021,3742,3847
56,5 AV/59 ST,03/06/2021,2215,2511
57,5 AV/59 ST,03/07/2021,1647,1891
58,5 AV/59 ST,03/08/2021,3478,3577
59,5 AV/59 ST,03/09/2021,3954,4045
60,5 AV/59 ST,03/10/2021,3741,3929
61,5 AV/59 ST,03/11/2021,4028,4190
62,5 AV/59 ST,03/12/2021,3861,4090
63,5 AV/59 ST,02/27/2021,1698,2159
64,5 AV/59 ST,02/28/2021,1206,1457
65,5 AV/59 ST,03/01/2021,3381,3469
66,5 AV/59 ST,03/02/2021,3576,3700
67,5 AV/59 ST,03/03/2021,3711,3880
68,5 AV/59 ST,03/04/2021,3611,3747
69,5 AV/59 ST,03/05/2021,3458,3616
70,57 ST-7 AV,03/27/2021,3926,4822
71,57 ST-7 AV,03/28/2021,2188,2660
72,57 ST-7 AV,03/29/2021,5150,5835
73,57 ST-7 AV,03/30/2021,5544,6612
74,57 ST-7 AV,03/31/2021,5493,6349
